Data Training Analisis Sentimen Pilgun DKI ;;;;
;;;;
;;;;
;;;;
;;;;
No;Tweet;Label;;
847;rt  ikutan yuk memotretjakartabaru  nnkita pilih ahy sologreatsale gong xi fa cai  ;;;
848;rt  cara paslon  bertanya ke paslon  seperti sedang mengadu domba didepan jutaan pasang mata tanpa ;;;
849; belajar undangundang dulu baru statement program;;;
850;rt  mari tuliskan sejarah baru mari gotong jakarta jadi kota dunia bangga punya pemimpin visioner ahokdjarot ;;;
851;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
852; pelajari data dulu baru serang lawan;;;
853;saat anies bicara soal pendidikan pada  yang terjadi justru semakin menguatkan alasan jokowi memberhentikannya dari menteri;;;
854;rt  berasa kan manfaat nya drpd dulu mending sekarang  nahokdjarot  ;;;
855;jangan sampai reklamasi untuk top of the top yg eksklusif cikal bakal benteng voc jilid  ;;;
856;rt  jadi pertanyaannya apa  awasituhoax ;;;
857;pdip sengaja becah belah rakyat warga dki tidak pilih ahok pertemu  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
858;rt  para pemujapemuji  kalau msh juga memuji ini keterlaluan mbok ya kalau tugas boleh tapi  ;;;
859;rt  ikutan yuk memotretjakartabaru  nnkita pilih ahy sologreatsale gong xi fa cai  ;;;
860;  b agus  pemandangangan indonesia debatpilkadadki;;;
861;rt  mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu  ;;;
862;rt  begini ini reaksi  dalam  semalam ketika mendengar jawaban dari ahoknnchildishnn;;;
863;ekstrem aksi ceroboh dua pria menantang ombakn  thaintelegram ;;;
864;ikutan yuk memotretjakartabaru  nnkita pilih ahy sologreatsale gong xi fa cai  hbkb ;;;
865;pilkada dki jangan pilih pki berbahaya pilih  atau  saja soal pengganti patrialis  imlek;;;
866;rada kasian sih sama bu sylvi setelah insiden overtime amp;;;
867;rt  sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake  yg salah ya ahok  aja  ;;;
868;rt  beda konsep pembangunan jakarta ahokdjarot vs ahy  ;;;
869;sodorin cermin ke  minta  yg pegangkan  ;;;
870;dalam  paslon  terlalu sibuk mencitrakan petahana gagal dalam memimpin jakarta dan kesibukan ini menjadi bumerang;;;
871;rt  ikutan yuk memotretjakartabaru  nnkita pilih ahy sologreatsale gong xi fa cai  ;;;
872;paslon  harusnya lebih baik penampilannya namun rusak garagara monolog mpok sylvi yang berlebihan amp;;;
873;rt  silvy  bla bla blanya waktu habisnanies  jadi pertanyaannya apansilvy  pikir aja sendiri dasar smw cowok gak peka ;;;
874;rt  silvy ke sandi  hampir  nnggak mau bayangin ;;;
875;bagus juga ya untuk mengelabuhi semuanya lebih menggunakan data lama daripada yang baru ;;;
876;rt  kata  sunda kelapa kok gk ada kelapanya  kampung rambutan isinya mikrolet ;;;
877;rt  paslon  cemennpaslon  ;;;
878;rt  ikutan yuk memotretjakartabaru  nnkita pilih ahy sologreatsale gong xi fa cai  ;;;
879;rt  wakakakakk anjir asli gak tahan ngakak  ;;;
880;rt  pilkada dki pemilih ahokdjarot paling solid cc  ;;;
881;rt  coba deh buka mata dan hati lebar lebar dan legowonpak  pantas saja  ;;;
882;rt  ini harga perberita wartawan yang dipelihara oleh pdip  ;;;
883;pdip sengaja becah belah rakyat warga dki tidak pilih ahok bangkrut ;;;
884; ahok lah yang terbaik;;;
885; agus berandai memukul anis punya  jurus latihan cuma sekali ahok  punya satu pukulan di latihn  kali ;;;
886;semakin ahokdjarot dikritik dan ditelan justru semakin membuktikan kebenaran ;;;
887;rt  pak anies nyerang paslon  pakek data tapi ternyata datanya hoax  ;;;
888; gak ada program pertanyaannya  programnya sedang  minta bantuan  bikin program;;;
889;pilkada dki jangan pilih pki berbahaya pilih  atau  saja begini jejak pelarian  imlek;;;
890;rt  kali ini pak anies nyebelin dari yang lalu bicaranya kaya ulama sekarang keliatan jadi politikus yang ;;;
891;  ahok jarot krn sdh terbukti sementara paslon  dan  hanya retorika dan masih dlm  href  for  feb  ;;;
892;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
893;rt  judulnya  di kepungtpi lucunya  menjadi penengah di antara  dan  ahokdjarotpilihan;;;
894;rt  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak ;;;
895; jempol ke bawah menunjukkan cawagub paslon  tak punya respect thd mantan bosnya ya rab;;;
896;rt  selamat pagi mari kita berpikir sejenak masih  ;;;
897;rt  aduh gw mah malu di kata orang jkt goblok apa ;;;
898;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
899;rt  ahok melerai sylvi dan anies the best moment of ;;;
900;semuacoblosaniessandi kecuali  krn gag suka program anies ;;;
901;rt  agus makin santainahok makin santunnanies makin ;;;
902;rt  ahy debatnya udah kelas capres aja tegascerdasdan berwibawa ;;;
903;pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  href  atau  satu atau tiga pilih ganjil jangan  jan  ;;;
904;rt  usai sudah  warga jakarta insyaallah makin yakin coblosanissandi coblospecinya no ;;;
905;ketua mui minta ahok perjelas permintaan maafnya ;;;
906;rt  kapolri minta masyarakat lihat video pidato ahok secara utuh  lewat ;;;
907;ketua mui minta ahok perjelas permintaan maafnya ;;;
908;yakin deh mba  pasti ketawa ngakaklah denger pelawak ngocol d ;;;
909;polri tunda proses hukum ahok hingga selesai pilgub ipw kemarahan umat islam akan memuncak  panjimas  tangkapahok;;;
910;rt  ini video saat nusron wahid kritik mui soal ahok ;;;
911;rachmawati tersinggung megawati ajak ahok ke makam bung karno ;;;
912;rt  mas agus menanggapi pertanyaan mslh dinastidikatakan bhw dinasti itu konotasinya negatif amp;;;
913;rt  ini video saat nusron wahid kritik mui soal ahok ;;;
914;alasan anies sering turun ke masyarakat meski belum masa kampanye ;;;
915; ingin menjatuh kan karakter mas agus babak pertama masih imbang;;;
916;rt  ada benernya juga bang  saya jadi ikut baca  ;;;
917;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
918;rt  keliatan bgt najwa pengen menjatuhkan agus tpi agus pandai menjawabnya  kereenn dahh  nahymatanajwa;;;
919;rt  cadass  mas agus keren nih live mata najwa daripada gubernur kontroversi muluk ;;;
920;rt  mas agus menanggapi pertanyaan mslh dinastidikatakan bhw dinasti itu konotasinya negatif amp;;;
921; polri tunda proses hukum ahok hingga selesai pilgub ipw kemarahan umat islam akan memuncak ;;;
922;agus yudhoyono melawak di mata najwa ;;;
923;rt  mui lembaga umat islam yg diakui pemerintah dn solusi hk mrpkn way out dr mslh pidato ahok dn bareskrim hrs periksa ;;;
924;mas agus kalo tegang nyruput kopi dulu mas biar makin membaraa  ahymatanajwa;;;
925;ahok mohon maaf pertikai al quran ketika berkempen bahagian siasatan jenayah polis menerima laporan daripada ;;;
926;malaysiakini ahok mohon maaf pertikai al quran ketika berkempen bahagian siasatan jenayah polis mener  prkdr;;;
927;lensaindonesia muhaimin iskandar permintaan maaf ahok sangat kita hargai  via lensaindonesia;;;
928;rt  tahun  live dg  mas agus sama sekali tidak terpikir untuk terjun ke dunia politik ahymatanajwa;;;
929;lah kata syafii maarif dia gak kenal ahok ;;;
930; mukaya agus merah bangett cari dukungan penonton pula untuk dukung jwbannya ;;;
931;mas agus yudhoyono tetap yang terbaiksemoga sukses di pilkada dki ;;;
932;rt  nusron wahid tak satu pun kalimat ahok menistakan alquran  via ;;;
933;mau dong lunch sm  sosok keren itu hehhehe;;;
934;rt  jangan lewatkan matanajwa malam ini live pk  wib bersama bakal calon gubernur agus harimurti yudhoyono ;;;
935;agus itu memang cerdas n jadi gugup najwa  ahymatanajwa;;;
936;membangun tanpa menyakitinaniessandi cerdas santun amp;;;
937;rt  ahok sudah meminta maaf artinya dia mengakui dirinya bersalah tinggal proses hukum dijalankan fadli zon ;;;
938;langsung ke pancing mas agus militer keluar pnahymatanajwa;;;
939;rt  lebih ke penasaran sih sama apa target agus yudhoyono sampe rela berhenti dari militer;;;
940;rt  sebelum debat kompak dukung agus  sylvi setelah  makin solid dukung  ;;;
941;rt  ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk  ;;;
942;rt  nah gue pikir sentimen petahana oke di  semalam tapi mnrt politicawave malah sebaliknya  ;;;
943;rt  anies semakin terlihat aslinya masyarakat sudah cerdas tidak mudah dibohongi dengan  yang mengelabui data ;;;
944;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
945;rt  urutan pertama best moment  pak basuki misahin bu sylvie amp;;;
946;rt  nlansia ibuibu dan wanita jakarta yang selayaknya dimuliakan bagi si terdakwa ahok cuma  ;;;
947;rt  ini artikel yg menjelaskan ternyata di  yg dapet respon positif di socmed adalah aniessandiokoce ;;;
948;dikontrakan ruko  lantai  ruko poltangan baru no  blok  psminggujaksel ;;;
949;rt  perhatikan tiap sandi jawab seluruh pertanyaan pasti  nyambung ke lapangan pekerjaan hanya menguasai itu saja ;;;
950;rt  meme terbaik awal tahun ini  pecah goks  ahokdjarot ;;;
951;pengamat khawatirkan antasari dijadikan komoditas politik nnegarakokjadibegini rezimpanik  ;;;
952;apapun pertanyaanya jawabnya tetap yg penting kreatif n goodwillnnyg tdk setuju silahkan keluar dari habitat ;;;
953;rt  hanya beliau yg berani menyatakan dirinya pelayan dan akan melayani masy dki sangat mulia terima kasih pak ;;;
954;  cakep berentiin reklamasi agar kita dpt pantai pass di depan rumah kita pass lagi musim hujan  hadew;;;
955;rt  bukan hanya jakartatolakahok tapi juga medan surabaya aceh dan tidak mustahil umat islam di indonesia juga  ;;;
956;rt  tuh sm  kerjanya buat steatmentspt nkri ini negara arabmasa mau bunuh ahokemang mrk nabi yg mau  ;;;
957;rt  polri minta masyarakat ikut awasi proses hukum kasus ahok  ;;;
958;rt  tanggapan anda tentang rekomendasi mui terhadap dugaan penistaan agama oleh ahok ;;;
959;rt  polisi cari saksi yang dengar langsung pernyataan ahok di pulau seribu ;;;
960;rt  npareces buena ondame caes  cuando  que abraces pronto a agus;;;
961;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
962;rt  najwa shihab ini keren juga adu argumen sama ahy kelihatan banget agus keki jawab pertanyaannya najwa  ;;;
963;rt  ahok bukan yg pertama jadi korban plintiran gt;;;
964;dan mas agus ikut dlm konstetasi politik karena dicalonkan oleh beberapa partai dan  tidak pernah diduga sebelumnya ahymatanajwa;;;
965;ternyata mas agus ini kayak politikus kawakan  mantap counter attack  ahymatanajwa;;;
966; ini video saat nusron wahid kritik mui soal ahok ;;;
967;rt  kapolri minta masyarakat lihat video pidato ahok secara utuh  lewat ;;;
968;rt  beda dengan megawati rachmawati dukung aniessandi ;;;
969; baru diawal  aja si agus dah kepancing emosinya gimana mo jadi politisi bro  dilawan ;;;
970;rt  gaya bicara ahok yusril bilang ilmu geografi megawati payah ;;;
971;ahok matanya sipit di  nusron matanya gak sipit di  juga dituduh  susah mmg ktika dengki n ;;;
972;rt  agus yudhoyono tidak bisa didikte oleh mata najwa  semua pertanyaan najwa yg mengarah memojokkan dan menjatuhkan ;;;
973;semoga tdk ada penyesalan stlh resign dr tni mas agus yudhoyono politik bukan dunia anda tni lbh mbutuhkanmupassion mu dsana;;;
974;rt  cb pake ini aja bisa sambil ngintip mas agus  ;;;
975;laknat biar modyaarr ini video saat nusron wahid kritik mui soal ahok ;;;
976;rt  ini jg bs jd teman ngopi  nkapolri minta masyarakat lihat video pidato ahok secara utuh  via ;;;
977;hoo ada agus yudhoyono di mata najwanemang gagah sihnnlostfocus;;;
978; mungkin blm tau klo sbnrnya para pemimpin koalisi yg mengusung agus krn terinspirasi nnton descendant of sun;;;
979;ini video saat nusron wahid kritik mui soal ahok ;;;
980;rt  ketua mui minta ahok perjelas permintaan maafnya ;;;
981;los temas bolivianos duran  minutos dijo agus ;;;
982;rt  ketua mui minta ahok perjelas permintaan maafnya ;;;
983;rt  telah hadir di studio agus harimurti yudhoyono bakal calon gubernur dki jakarta yang diusung partai demokrat pp pkb amp;;;
984;rt  tahun  live dg  mas agus sama sekali tidak terpikir untuk terjun ke dunia politik ahymatanajwa;;;
985;pemimpin intelektual cerdas dan punya karismatik you the best sir agus ahymatanajwa;;;
986;rt  lho pendukung agus kah klo iya sama dong seperti yg mui itu  hmm  ;;;
987;rt  gue bangganpak basuki bangganapalagi pendukungnya ahokdjarot pasti lebih bangga laginmui terdiam bisunyusuf  ;;;
988;rt  dan mas agus ikut dlm konstetasi politik karena dicalonkan oleh beberapa partai dan  tidak pernah diduga ;;;
989; ya kalo belum kan tinggal bilang aja mz agus yudhoyono itu diundang kok sama mata najwa ;;;
990;presidenkapolrigub dki paling top selama gw jd warga  gbu all;;;
991;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
992;rt  ahok  jilbab yang dipakainya yang kayak serbet malah mungkin lebih bagus serbet di dapur sayann;;;
993;ahok dii rameinndimas kanjeng aa gatot atau ustadz guntur bumi yang  terbukti menggunakan ayat al quran ;;;
994;rt  mas agus menanggapi pertanyaan  ttg kutipan rekaman  beliau menjawab mas agus tetap konsisten ;;;
995;ahymatanajwa selow mas agus ngopi dulu biar tambah kece jawabnya;;;
996;rt  setara institut nilai mui berpolitik tdk sehat  ;;;
997;najwa kepengen memposisikan agus seperti mantan gub dki yg janji  tahun mimpin dki ternyata malah nyapres gitu lho ngerti kan ;;;
998; pak nusron tolong ini orang di hukum sudah memaki bapak biar ini ank tau aturan pak saya tetap  ;;;
999;rt  tadinya gak mau  dukung ahok semua berubah gegara ustad haus darah  n;;;
1000;rt  mas agus menyatakan bahwa saat ini beliau hrs menyesuaikan kondisi saat ini politik amp;;;
1001;rt  agus sableng anjiirr  ngakak sayaa;;;
1002;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1003;wadduh mungkin disamain diri mrk dlm berbuat krn bayaran yah jgn pake ukuran baju sendiri ke org lain dong   ;;;
1004;rt  sebenarya sedikit kaget dengan pencalonan agus yudhoyono di pemilihan umum gubernur karena kariernya di militer lagi ;;;
1005;rt  suka ga suka ahok yg ajarin kita utk mantau  di youtube kalau niat jelek mah buat apa toh kita ga ;;;
1006;rt  aamiin  yg lain segera menyusul laporannyanaamin ;;;
1007;rt  cerita mengharukan koh anton medan terhadap koh ahok ahok patriot bangsa indonesia yang islami meski bukan islam n ;;;
1008;ini video saat nusron wahid kritik mui soal ahok ;;;
1009; mending mana ahok keras lawan korupsi ato agamis mui mntkan bunuh potong tanganmenag korup anggran ;;;
1010;apaansi ini mas agus di matanajwa menggebugebu banget ;;;
1011;rt  mui ahok hina islam alquran dan ulama  penjarakan harga mati sekalian proses kasus rampok rssw dll  ;;;
1012;rt  ahok pns dki jakarta yang lakukan pungli kami pecatn ;;;
1013;rt  kalo gak kuat jawab pertanyaan  mending lambaikan tangan ke arah kamera deh  ;;;
1014;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1015;rt  prestasi ahok roboh karena mulutnya ceroboh ahok ;;;
1016;rt  unggah video ahok buni yani bantah tim sukses cagub dki ;;;
1017;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1018;rt  pemimpin intelektual cerdas dan punya karismatik you the best sir agus ahymatanajwa;;;
1019;rt  ngopi sambil baca ini yuukk  nterkait ahok setara institute nilai mui berpolitik  via ;;;
1020;rt  pendukung ahok selalu bilang yang nga suka ahok islam pemarah kecanduan agama dll lha nusron tadi ngomong kayak dewa ;;;
1021;rt  ini imbauan ahok supaya pemilik klub malam di jakarta tak ditutup usahanya  via ;;;
1022;rt  mereka senang karena di hargai oleh pak ahoknmereka bangga hidupnya berubahntanpa mereka semua jakarta bagaikan  ;;;
1023;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1024;rt  bang  tega membuat buya sjafii jadi sedikit bohong ke publik demi bela ahok ;;;
1025;rt  katanya polda pantau dunia maya kok kelakuan ahokers yg meresahkan dibiarkan yg ditindak cm yg anti ahok ya ;;;
1026;rt  buzzer ahok yang direkrut dari latar agama sekarang mati gaya setelah muncul agus dan anis rasanya ahok gak memerlukan ;;;
1027;rt  janganhinamui gue heran pendukung ahok kaga ada  ngetwit ;;;
1028;rt  pengakuan nelayan ini ungkap jasa besar ahok dibalik kisruh reklamasin;;;
1029; hahaha baru digesek sedikit aja sma mba nana agus sudah ngebul emosi santai aja mas di politik hrus siap di  href  for  oct  ;;;
1030;mungkin blom makan atau tak menguasai masalah yg ditanyakan  href  for  silalahi  mar  oct  ;;;
1031;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1032;rt  ini mui atau isis  sangat menyeramkan ;;;
1033;  kopinya dibanyakingrogi tingkat dewa tuh si  href  web  indonesiaurlnulldescriptionchristian  do the best only to  apr  ;;;
1034;rt  sobat relasi jgn lupa saksikan live talkshow mas agus harimurti yudhoyono di  mlm ini pkl  wib  ;;;
1035;masih tetep dukung ahok sih buat jadi gub selanjutnya;;;
1036;lensaindonesia muhaimin iskandar permintaan maaf ahok sangat kita hargai  via lensaindonesia;;;
1037;rt  ini video saat nusron wahid kritik mui soal ahok ;;;
1038;agus harimurti keliatan demam panggung grogi bgt dan itu baru pemanasan loh tp minum kopi dulu mase kali aja groginya ilang matanajwa;;;
1039;rachmawati tersinggung megawati ajak ahok ke makam bung karno ;;;
1040;rt  dan mas agus ikut dlm konstetasi politik karena dicalonkan oleh beberapa partai dan  tidak pernah diduga ;;;
1041;alasan anies sering turun ke masyarakat meski belum masa kampanye ;;;
1042;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1043;rt  menarik banget nih perbincangan di  pertanyaan cerdas dari mbak najwa sanggup diimbangi agus yudhoyono d;;;
1044;rt  najwa kepengen memposisikan agus seperti mantan gub dki yg janji  tahun mimpin dki ternyata malah nyapres gitu lho ;;;
1045;rt  ahok  jilbab yang dipakainya yang kayak serbet malah mungkin lebih bagus serbet di dapur sayann;;;
1046;mas agus yudhoyono kok keliatan lebih ganteng yah malam ini di ;;;
1047;rt  najwa kepengen memposisikan agus seperti mantan gub dki yg janji  tahun mimpin dki ternyata malah nyapres gitu lho ;;;
1048;vivacoid ini video saat nusron wahid kritik mui soal ahok ;;;
1049;imo agus harimurti lebih berkarisma dengan seragam tni  ahymatanajwa matanajwa ;;;
1050;rt  bang  tega membuat buya sjafii jadi sedikit bohong ke publik demi bela ahok ;;;
1051;cuci mata sesimple mantengin mas agus di mata najwa aww;;;
1052;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1053;rachmawati tersinggung megawati ajak ahok ke makam bung karno rachmawati mengungkapkan  kaltimberita;;;
1054;agus yudhoyono ternyata lebih lugas dan tegas dalam menjawab dibanding sang bapak sby yg selalu hatihati dlm menjawab kerennahymatanajwa;;;
1055;rt  selama mas jomo msh jadi kusirnyatemtu doi ga boleh disentuh lbh baik kita rapatkan barisan thd  yg  ;;;
1056;bru pertama kali nonton mata najwa itupun karna ada agus ternyata najwa gini toh suka potong pembicaraan orang  nahymatanajwa;;;
1057;duh mas agus nervous kenak kick  jadi kebanyakan minum kopi luwak;;;
1058;suka dengan jawabn mas  najwa juga kerennahymatanajwa;;;
1059;agus yudhoyono sangat cerdas sekali  tidak bisa dipatahkan dan tidak bisa dipojokkan serta tidak bisa jatuhkan oleh  mata najwa;;;
1060;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1061;rt  jkw  ahok keduanya seperti dua sejoli  yang sering bentrok dengan  rakyat  bukankah sejatinya pemimpin itu  ;;;
1062;pas break iklan di mata najwannagus yudhoyono  mbak nana boleh jok minum ;;;
1063;kibaskibas rambut lihat mas agus ahymatanajwa;;;
1064;kaya jaman mos sekolah  nis with anies pic  ;;;
1065;halo pak ahok google maps di ios perbarui widget  ;;;
1066;ahok minta maaf tapi proses hukum hrs tetap dtegakan agar jd pelajaran kdepanyselamat dan tdky sseorg tergantung dr ucapany;;;
1067;rt  he hee rela menggadaikan akidah demi si ahok ;;;
1068;  fokus penjarakan ahok dan savebuniyani yg kek akun baju kaos itu jgn  href  for  benar jadi orang baikntapi jauh lbh baik jadi orang benar  jan  ;;;
1069;rt  kasus ahok bareskrim monggo diawasi penanganannya  ;;;
1070;asiknya habis bela ahok dapat amplop ;;;
1071;kena karma dholimi ahok ketua bpk harry azhar dijatuhi sanksi etik oleh mkke bpk ;;;
1072;belum jg wartawan yg tanyatpi agus yudhoyono keliatan panik dan sedikit emosi ;;;
1073;rt  hahahanjadi yg dukung anies sandi sekarang sdh ga anti china lagi ya nsdh dpt hidayah  ;;;
1074;rt  menarik banget nih perbincangan di  pertanyaan cerdas dari mbak najwa sanggup diimbangi agus yudhoyono d;;;
1075;rt  rsuk taman sari ini dulunya adlh pskesmas yg dibangun mnjadi rsu tipe d  lantai olh ahok  ;;;
1076;rt  silakan selamat bergabung  ;;;
1077;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1078;rt  profesi mz agus yudhoyono sebelum terjun ke dunia politik ;;;
1079;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1080;rt  menarik banget nih perbincangan di  pertanyaan cerdas dari mbak najwa sanggup diimbangi agus yudhoyono d;;;
1081;rt  bukan hanya jakartatolakahok tapi juga medan surabaya aceh dan tidak mustahil umat islam di indonesia juga  ;;;
1082;rt  hasil kerja ahokdjarot dlm bidang ekonomi ;;;
1083;telah hadir di studio agus harimurti yudhoyono bakal calon gubernur dki jakarta yg diusung partai demokrat pp pkb amp;;;
1084;rt  pernyataan hebat nusron wahid soal ahok di ilc tvone  oktober  ;;;
1085;rt  wah terimakasih kasih  ayo saksikan mas agus di  live hari ini jam  ahymatanajwa ;;;
1086;wait tadi mas agus yudhoyono ditanya apa sih kokkayaknya tegang sampe minum kopi di mata najwa ;;;
1087;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1088; serius kak soalnya menurutku si ay agus yudhoyono inibelum mantep tp bisa gitu  pdhl najwa nusuknya;;;
1089;mas agus idolaku leo banget bawaannya;;;
1090;menag apresiasi mui yang ajak umat islam maafkan ahok ;;;
1091;pesan susi untuk para pelaku usaha di industri perikanan  ahok ;;;
1092;rt  yukk saksikan  live dgn mas agus yudhoyono jam  di metrotv nahymatanajwa ;;;
1093;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1094;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1095;rt  gw tadinya berharap lawan ahok itu risma rk kang yoto mas yoyok mas azwar anas nurdin bantaeng atau kepala daerah ;;;
1096;rt  mui gunakan isu agama untuk dukung calon tertentu dan hajar ahokdjarot  waduh main politik ya;;;
1097;rt  ahok kita jadi inget al quran  ;;;
1098;rt  ahok dibela megawati soal gaya bicaranya yang kasar ustaz yusuf mansur orang bangka belitung santunsantun ;;;
1099;ahok jelaskan alasan puluhan sekolah di dki gagal dibangun tahun ini ahok menjelaskan alasan gagalnya pemban ;;;
1100;visitpurworejo  anies baswedan blusukan di petamburan  megapolitan  warmakbanyumili;;;
1101;kemaren koq ngotot bilang dia bukan orang bodoh yang ga ngerti uu  ;;;
1102;rt  keliatan kok najwa yg gelisahsmua pertanyaan dijawab sg cerdas oleh mas agus jawab cerdas dan akurat kok dibilang ;;;
1103;jangan  pernyataan org kang masa ahok doang yg ga boleh d potong omongannya  ;;;
1104;rt dulu saya suka yusuf mansyur muda berakhlak mulia dan agamis tapi sekaranghemss speechless dehuffduffd ;;;
1105; nonton mata najwa mas luar biasa mas agus disitu;;;
1106;si mbak mego malah bawa ahok ziarah kemakam bung karno  href  for  menanti huru hara akhir  feb  oct  ;;;
1107;rt  apa jawaban agus soal keputusannya saksikan matanajwa bersama ahy bertaruh di jakarta malam ini pkl  ;;;
1108;budiman sudjatmiko kebijakan ahok sering diframing pro  tribunnews ;;;
1109;rt  syafii maarif ahok itu bukan orang jahat kalo dia sudah minta maaf ya sudah sudah selesai jangan  ;;;
1110;itb jd hater ahok ahoker said ;;;
1111;rt  mui dah gak ada wibawa lagi abaikan terkait ahok setara institute nilai mui berpolitik  via ;;;
1112;rt  saya melihat data lsi soal pilkada dki yang mengejutkan survei okt  ahok potensial kalah;;;
1113;rt  sobat relasi jgn lupa saksikan live talkshow mas agus harimurti yudhoyono di  mlm ini pkl  wib  ;;;
1114;rt  om safei di hari tuanya harus berbohong ga kenal ahok ;;;
1115;ahy sdh berkunjung ke tempo dan wawancara skr anies  sandi ahok  djarot coming soon kayanya ;;;
1116;tegakkan hukum dan keadilan terhadap ahok sebagai pelaku penghinaan  dan ulama ;;;
1117;hidup misteri men kita tidak akan tau akan seperti apanjalan hidup kita kedepannya  ngeri  ngeri sedap masnagus yudhoyono kerenss;;;
1118;polri tunda proses hukum ahok hingga selesai pilgub ipw kemarahan umat islam akan memuncak ;;;
1119;ahok tidak minta maaf atas penistaan agama habieb rizieq ayo polisikan ahok ;;;
1120;polri permintaan maaf ahok tidak menghentikan proses hukum  href  feb  ;;;
1121;rt  kalo ada yg belom liat batik cherrybelle kurang lebih kayak gini bajunya dipake juga pas ketemu pak ahok ;;;
1122;polri permintaan maaf ahok tidak menghentikan proses hukum ;;;
1123;rt  tahun  live dg  mas agus sama sekali tidak terpikir untuk terjun ke dunia politik ahymatanajwa;;;
1124;fadli zon  pp djan faridz dukung ahok untuk merayu jokowi emang masalah buat lo zon  via ;;;
1125;gebrakan baru ahok pemprov dki jakarta gandeng akuntan inggris untuk akuntabilitas anggaran  via ;;;
1126;tanpa pandang bulu ahok bongkar lahan hotel untuk normalisasi kali krukut  via ;;;
1127;heboh ahok tutup diskotik yang terbukti edarkan narkoba berita terbaru ahok  via ;;;
1128;celah korupsi habis fadli zon  jokowi hadir di ott pungli kemenhub mau menutupi isu ahok  via ;;;
1129;rt  ahok sudah minta maaf rachmawati proses hukum harus jalan  ;;;
1130; jasa tambah follower twitter dan instagram  list harga baca di wwfollowbacknet tanpa tanda kurungn  agus yudhoyonor  ;;;
1131;cewek cantik partai baru psi deklarasikan dukung ahok di pilkada dki  via ;;;
1132;ahok minta dprd lanjutkan pembahasan raperda reklamasi teluk jakarta  via ;;;
1133;buni yani penebar kebencian isu sara ahok di ancam uu ite oleh polisi  via ;;;
1134;djan faridz bungkam pengamat politik pp dukung ahok karena tindakannya sejalan dgn islam  via ;;;
1135;rt  mas agus menanggapi pertanyaan mslh dinastidikatakan bhw dinasti itu konotasinya negatif amp;;;
1136;habiburokhman  kalau ahok ikhlas saya ajak rekan rekan maafkan dia berita terbaru hari ini  via ;;;
1137;keberuntungan jokowi dan ahok dapat istri idaman seperti ini berita terbaru hari ini  via ;;;
1138;mui dibayar berapa sama agus yudhoyono agar salahkan ahok ;;;
1139;mas agus cerdas rek mantap mas  ahymatanajwa;;;
1140;rt  ahok dibela megawati soal gaya bicaranya yang kasar ustaz yusuf mansur orang bangka belitung santunsantun ;;;
1141;rt  mas agus menanggapi pertanyaan mslh dinastidikatakan bhw dinasti itu konotasinya negatif amp;;;
1142;rt  muslim yg keras menolak ahok yaa  muslim yg selama ini anti pancasilaamp;;;
